Datetime,Name,Job_title,Skills,Description
2020-07-03 08:32:56-07:00,Egoditor,Full Stack PHP Developer,"['full stack', 'dev', 'php', 'digital nomad']","
Silicon Valley? Dublin? That&rsquo;s yesterday&rsquo;s news &ndash; tomorrow's business is made in Bielefeld!

We are the brains behind www.qr-code-generator.com and are looking for extraordinary&nbsp;people to share their experience and expertise &ndash; like you!

Do you want to actively shape the development of PHP applications?&nbsp;Are you an expert in both front and backend?&nbsp;Do you want to use your potential and your skills to push our web-based software to the next level?

Then show us your code!

Onsite or remote - we are looking for the perfect addition to our team!

Who we are

Since 2009, Egoditor has been one of the leading software providers for mobile marketing. With more than eight million registered users in over 180 countries, our SaaS solution for creating QR Codes and implementing marketing campaigns is one of the most successful in the industry: http://www.qr-code-generator.com/features

Your challenge


* Holistic development from the optimization of MySQL queries to object-oriented programming and testing of our software.

* Agile development and improvement of our software (analysis, preparation, implementation, testing, and documentation) in collaboration with our teams.

* Troubleshooting and performance improvements.

* Development of new features for our entire product portfolio.





* Assist our support team with the problem analysis and finding solutions for our customers.




Your skills


* At least 5 years of professional experience in programming of web applications with an OOP Framework (Laravel, Symfony, etc.) and frontend frameworks like Vue.

* Expert knowledge of PHP7+, SQL, JavaScript/TS, HTML5, Sass,&nbsp; Vue, node/npm, and git.

* Competent handling of the command line (Ubuntu).

* Self-responsibility and a well-structured working method even when handling multiple projects at once.

* International mindset, fluent English (written and oral).

* Good communication skills as well as the ability to pass on your knowledge.

* Experience with unit tests and test automation (PHPUnit, Selenium).

* Experience in API communication and building.

* Experience with AWS, S3, EC2, SES, SQS is an advantage.




Why Egoditor

In addition to our regular team events and freshly roasted coffee, we also offer you...


* A work climate that allows you to actively help shape a growing SaaS company with your skills.

* Technical challenges which you are going to master together with your team.

* Individual employee experience and regular feedback meetings.

* Great personalities, an appreciative ""YOU culture"" and short decision-making channels.

* Modern and ergonomic workstations in the stylish ""Lenkwerk City"" in the heart of Bielefeld.

* Activity room with table tennis, football table, games console, and library.

* Drinks, snacks, and fresh fruit.

* A fully equipped kitchen for cooking, networking, and recharging.

* Option to work from home.

* Company pension scheme.





Want to join us? Send your application incl. code examples to jobs@egoditor.com.
 Apply now and work remotely at Egoditor"
2020-07-03 07:58:48-07:00,Aptera Software,Software Developer,"['dev', 'digital nomad']","
Aptera is seeking an expert Software Developer who enjoys working with a variety of clients and has a strong desire to learn and work with cutting edge technologies. If you are a developer who dreams in code, sees the world from a business-oriented mindset and lives to learn more about people, processes and systems, then we&rsquo;d like to chat with you!

Top reasons to join Aptera


* Grow through investment


* Personal mentorship, attend conferences and trainings, company outings, team building events and more





* Exposure to different industries


* Manufacturing and retail to healthcare and finance





* Push your skill set to the next level


* Work alongside passionate, cutting edge technologists, who challenge and inspire you to grow





* Relaxed work environment and culture


* Casual attire in the office and an open, collaborative workspace





* Remote-Friendly Culture


* Collaboration Tools (Zoom, Slack, Visual Studio Live Share)

* Flexible work schedules

* Remote-first meetings

* Pair/mob programing

* Remote employees are always invited to come take advantage of our headquarters at any time





* Excellent pay and benefits


* 401K, Health, Dental, Vision, Short-Term Disability, Long-Term Disability, and Life Insurance








Top things we look for in our team members


* &ldquo;Team over self&rdquo; mentality

* People smarts

* Eye for detail

* Polished &amp; professional

* Goes the extra mile

* Always willing to learn new things




Top skills/qualifications we look for


* 2+ years of MVC, Entity Framework, SQL Server and either Web API or Web Services experience

* 2+ years of HTML, CSS and JavaScript experience

* SPA&rsquo;s, Angular and React experience preferred

* Experience working in an agile development environment with frameworks including Scrum and Kanban




As a Software Developer you will


* Receive a personalized onboarding through the Aptera Academy

* Work on a team to design and implement web based solutions using SPA&rsquo;s, MVC&rsquo;s, Web API&rsquo;s, SQL and JavaScript

* Develop high quality code via test driven development, automated testing, and other continuous integration and continuous delivery mechanisms

* Contribute to success through the application of software craftsmanship principles

* Apply critical thinking to tackle business challenges through the application of custom software

* On a quarterly basis can opt into one of four company sponsored learning tracks




Aptera works with clients around the globe and is headquartered in Fort Wayne, IN. For additional information about Aptera please visit our website at www.apterainc.com &amp; our YouTube channel to see more about our company culture.

About Aptera Software

Aptera is a custom software development partner specializing in building mobile apps, web apps, and websites for enterprise-level businesses. Founded in 2003 and based in Fort Wayne, IN, we have a diverse team of onsite and remote employees around the Midwest.&nbsp; At Aptera, we believe that by creating a culture of learning we can empower our team members to develop the best software for our clients. With our expertise, we help clients solve complex business problems to transform the way they do business.
 Apply now and work remotely at Aptera Software"
2020-07-03 07:57:17-07:00,Aptera Software,Mobile Developer,"['dev', 'mobile', 'digital nomad']","
Aptera is seeking an expert Mobile Application Developer who enjoys working with a variety of clients and has a strong desire to learn and work with cutting edge technologies. If you are a developer who dreams in code, sees the world from a business-oriented mindset and lives to learn more about people, processes and systems, then we&rsquo;d like to chat with you!

Top reasons to join Aptera


* Grow through investment


* Personal mentorship, attend conferences and trainings, company outings, team building events and more





* Exposure to different industries


* Manufacturing and retail to healthcare and finance





* Push your skill set to the next level


* Work alongside passionate, cutting edge technologists, who challenge and inspire you to grow





* Relaxed work environment and culture


* Casual attire in the office and an open, collaborative workspace





* Remote-Friendly Culture


* Collaboration Tools (Zoom, Slack, Visual Studio Live Share)

* Flexible work schedules

* Remote-first meetings

* Pair/mob programing

* Remote employees are always invited to come take advantage of our headquarters at any time





* Excellent pay and benefits


* 401K, Health, Dental, Vision, Short-Term Disability, Long-Term Disability, and Life Insurance








Top things we look for in our team members


* &ldquo;Team over self&rdquo; mentality

* People smarts

* Eye for detail

* Polished &amp; professional

* Goes the extra mile

* Always willing to learn new things




Top skills/qualifications we look for


* 2+ years of mobile app development experience using one or more of the following technologies: Native Android, iOS Native, React Native, NativeScript, or Xamarin

* 2+ years of MVC, Entity Framework, SQL Server, and either Web API or Web Services experience

* 2+ years of HTML, CSS, JavaScript experience

* SPA&rsquo;s, Angular and React experience preferred

* Experience working in an agile development environment with frameworks including Scrum and Kanban




As a Mobile App Developer you will


* Receive a personalized onboarding through the Aptera Academy

* Work on a team to design and implement mobile solutions using Xamarin, React or Native

* Develop high quality code via test driven development, automated testing, and other continuous integration and continuous delivery mechanisms

* Contribute to success through the application of software craftsmanship principles

* Apply critical thinking to tackle business challenges through the application of custom software

* On a quarterly basis can opt into one of four company sponsored learning tracks




Aptera works with clients around the globe and is headquartered in Fort Wayne, IN. For additional information about Aptera please visit our website at www.apterainc.com &amp; our YouTube channel to see more about our company culture.

About Aptera Software

Aptera is a custom software development partner specializing in building mobile apps, web apps, and websites for enterprise-level businesses. Founded in 2003 and based in Fort Wayne, IN, we have a diverse team of onsite and remote employees around the Midwest.&nbsp; At Aptera, we believe that by creating a culture of learning we can empower our team members to develop the best software for our clients. With our expertise, we help clients solve complex business problems to transform the way they do business.
 Apply now and work remotely at Aptera Software"
2020-07-03 07:11:41-07:00,Vamstar,Senior Software Engineer,"['backend', 'nodejs', 'node', 'typescript']","Vamstar significantly reduces the cost and effort required to understand buyer and contract information, so critical to improving overall bidding time and margins on each opportunity in Healthcare & Pharma. We are venture-backed and actively partner across the US and European healthcare and technology landscape.



Join us in our mission to making healthcare more affordable and accessible to people across the globe. We are looking for a seasoned engineer who can help us scale our backend.



**&nbsp;Key Strengths

**

* Strong backend experience with some exposure to other parts of the web stack

* Takes pride in writing production-quality code

* Strong fundamentals in data structures, algorithms, web technologies, and design patterns

* Calm under pressure

* Hungry to improve


 Apply now and work remotely at Vamstar"
2020-07-02 16:01:05-07:00,Syncro,Ruby On Rails Developer,"['dev', 'ruby', 'digital nomad', 'ruby']","
Syncro is a small team crafting applications helping small business be more successful.

Our software does job tracking, marketing, invoicing, integrates tons of online tools -- and is awesome.

We are open to taking risks with technology, we use ember/react/kubernetes in production, and are generally open to exciting fun new stuff!

We're building a company that has fun inventing. We go fast, and our customers love us. Thousands of repair shops and IT Professionals all over the world rely on our platform for their entire business operations.

We are different - we really do care, the founders are writing this ad and looking at the resumes - not a recruiter or HR department.

We are using heroku with 50+ dynos, our platform consists of a number of rails apps and integrations to other platforms.

We hook into Google Cloud Print, we're building a huge inventory system to rival any out there, we've built a ""remote machine management"" platform with an open API, we're doing it all...

If this sounds like the kind of team you want to be part of, we want to hear from you.

Do you play around with new stuff for fun?
Have any cool side projects to test out a new technology?
Do you hear about a problem and just obsessed building a web app to solve it?
If this sounds like your kind of play - we might be a great fit. :)

HIGHLIGHTS:

-Salaried position designed to grow with the company (seriously, try us).
-We want this to be your dream job - but we need your help (tell us how).
-We will advance your career like nobody else -- stay with us for the long haul and we'll keep you challenged, learning, passionate, and growing.
-Results-oriented: Keep having fun and shipping code and you can design your day.
-We are currently a dispersed team working from home.
- Supplemental Health Benefits

WHAT YOU'LL BE DOING:

-Making our product even more awesome.&nbsp;
-Improving our code base and infrastructure.&nbsp;
-Lots of building and inventing.&nbsp;
-Keeping us up to date with what you are learning in your spare time.
-Bringing in new technology you discover that might solve a problem.
-Coming up with improvements to many areas that are still sort of minimum viable state.

WHAT WE'RE LOOKING FOR:
-A few years of building applications, designing interfaces, etc.
-A few years of Ruby on Rails experience
-No specific education necessary (really)
-Excellent communication skills - verbal, written and electronic.
-You care -- which means sometimes putting yourself out there for a customer experiencing pain.
-Ability to multi-task in a fast paced environment.
-You're kind and wily (in a good way).

BONUS SKILLS:


-Experience building integrations with APIs

HOW TO GET HIRED BY US:

Write us about a recent time or two that you caused a production outage, what the root cause was, and what you learned from it.

For example; Troy our Founder shipped a typo in a class name a bit ago and those are annoying because they might be easily missed in Development environment but then production blows up. This led to a more robust CI+Staging step than we had prior.

Just demonstrate that you are an individual, you have a personality, you enjoy life, and you enjoy good work. And please include a resume. :)

SyncroMSP is an equal opportunity employer.&nbsp;We value diversity and are committed to creating an inclusive environment where all employees can thrive and do their best work, free from discrimination and harassment.

Pay: DOE. Let's Talk.
 Apply now and work remotely at Syncro"
2020-07-02 15:46:49-07:00,Atomwise,Senior Software Engineer Cloud,"['dev', 'cloud', 'senior', 'engineer']","
At Atomwise, we invented the first deep learning neural networks for structure-based small molecule drug discovery, and we&rsquo;re currently deploying it in one of the largest applications of machine learning for life sciences. We work on Alzheimer&rsquo;s, cancer, diabetes, drug-resistant antibiotics, and other diseases. We&rsquo;ve partnered with 4 of the top-10 US pharma companies, raised over $50M from top VCs, and have 100+ diverse projects currently running.

You should think about joining us if you care about enabling the application of machine learning to essential problems. For example, we are not constrained by latency or uptime but by scaling and parallelization. Today we can analyze more than 1 billion molecules per day, but there are about 10^24 synthetically-accessible molecules. Come help us pick up a couple of orders-of-magnitude.

Our team has over 35 Ph.D. scientists who contribute to a collaborative academic-like culture that fosters robust scientific and technical discussion. We strongly believe that data wins over opinions, and aim for as little dogma as possible in our decision making. Our team members have expertise in a wide range of disciplines--from computational chemistry and structural biology to cloud-native best practices--and we regularly have internal seminars open to anyone interested in learning about these topics.

Our Engineering team is small and growing quickly. As a result, there&rsquo;s plenty of opportunities for career growth and to have a significant impact on our success.&nbsp;

You will


* Have the opportunity to learn and improve how we run machine learning at scale to deliver new drugs.

* Play an essential role in designing and building cloud-based solutions consisting of 500+ CPU and GPU instances in a highly dynamic scaling environment.

* Foster high-quality and adaptable software using engineering and Agile best practices.

* Interact closely with our scientists (your users) to scope, design and implement software to&nbsp;tackle&nbsp;cheminformatic and machine learning problems.




Required Qualifications


* Bachelor&rsquo;s degree in Computer Science with 4+ years of software engineering experience.

* High proficiency in Python and a compiled language (e.g., C++, golang, Java, etc).

* A record of designing and implementing cloud software using docker containers.

* High proficiency with the Linux command-line environment.




Preferred Qualifications


* Experience building and deploying batch computing workloads or microservices onto Kubernetes.

* Experience implementing machine learning architectures in PyTorch or TensorFlow

* Background in Biology or a related field.




Compensation &amp; benefits


* Competitive salary, commensurate with experience

* Stock compensation plan &ndash; you&rsquo;ll be an Atomwise co-owner

* Platinum health, dental, and vision benefits

* 401k with 4% match

* Flexible work schedule

* Generous parental leave

* Strong emphasis on collaborative learning and career development




Atomwise&nbsp;is not currently offering visa sponsorships for any position. Please only apply if eligible to work in the U.S.


Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.
 Apply now and work remotely at Atomwise"
2020-07-02 13:58:30-07:00,Verys,Senior Software Engineer C# .NET,"['dev', 'c', 'c plus plus', 'senior']","
At Verys, our software engineers have the ability to own their projects and build their experience across tech stacks and industries.&nbsp;We build software to be proud of for clients like Blizzard, American Airlines, Kia, and Experian.


Right now, we&rsquo;re looking to welcome a new&nbsp;Senior Software Engineer&nbsp;to join our team.&nbsp;In this role, you will work alongside technical leads, developers, QA analysts, and project managers to deliver the quality code that&rsquo;s lead to our stable growth over the last 8 years.


If you are excited by solving complex challenges and growing your career within an innovative software services company, we&rsquo;d love to hear from you!


Skills &amp; Requirements


* You&rsquo;re smart, versatile, and passionate about delivering the highest caliber of code.

* You communicate well with teammates and clients, and your experience backs that up.

* You are highly skilled with&nbsp;C#&nbsp;/ ASP.NET development

* You're experienced&nbsp;with scalable and high availability systems

* You have solid database experience (SQL, Stored procedures)

* You&rsquo;ve thrived on teams using the Agile methodology

* Ideally, you have experience building web services and microservices&nbsp;

* Bonus points if you have experience with AWS

* You have at least 5 years of similar experience under your belt.





We Offer


* Competitive compensation based on your skills

* Learning resources like Udemy, Saisoft, and internal development meetups

* An awesome culture with opportunities to meet like-minded people

* Philanthropic events to get involved in the community

* Competitive medical, dental, and vision coverage

* Flexible hours and paid time off

* 401K matching





This is a fully remote position with the option to work out of our office in Orange County, CA. Please note that we do not work with third parties or provide sponsorship at this time.&nbsp;We are excited to review your application!
 Apply now and work remotely at Verys"
2020-07-02 10:15:08-07:00,Form3,Senior Software Engineer,"['golang', 'dev', 'senior', 'engineer']","London, United Kingdom - WHO WE AREWe’re a tech-first scale-up regarded as one of the hottest payments fintechs in London. Founded in 2016, our cloud-native payments platform is used by over 25 of the most exciting and disruptive banks and fintechs in the world including N26, Holvi, Viva, Tandem and ...
 Apply now and work remotely at Form3"
2020-07-02 09:49:27-07:00,SemanticBits,Senior Software Engineer,"['dev', 'senior', 'engineer', 'digital nomad']","
Position Summary

SemanticBits is looking for a talented Developer who is eager to apply computer science, software engineering, databases, and distributed/parallel processing frameworks to prepare big data for the use of data analysts and data scientists. You will deliver data acquisition, transformations, cleansing, conversion, compression, and loading of data into data and analytics models. You will work in partnership with Tech Lead and Business Analysts to understand use cases, data needs, and outcome objectives. You are a practitioner of advanced data modeling and optimization of data and analytics solutions at scale. Expert in data management, data access (big data, data marts, etc.) and Scala/Spark programming. This position is open to a mid-level to principal professional depending on experience.





Responsibilities


* 5+ or more years in software development&nbsp;

* At least 3 years working with Scala and Apache Spark

* Strong knowledge of computer science fundamentals: object-oriented design and programming, data structures, algorithms, databases (SQL and relational design)

* Demonstrable expertise with Scala, Spark, and wrangling of various data formats - Parquet, CSV, XML, JSON

* Experience with JavaScript/Node.js, Typescript, AWS EMR, AWS S3, Apache Airflow, SAS

* Experience with Agile methodology, using test-driven development.

* Excellent command of written and spoken English

* Self-driven problem solver





Required Qualifications:


* Candidate must reside in the United States

* Bachelor's degree in technological or related field and a minimum of 5 years of relevant experience or a Master&rsquo;s degree with a minimum of 3 years experience

* Flexible and willing to accept a change in priorities as necessary





Physical and emotional requirements for the job:

This position is to be performed remotely from an individual&rsquo;s home office and involves sedentary work. Employees in this role can be expected to exert up to 10 pounds of force on occasion in order to lift, carry, push, pull or otherwise move standard electronic equipment. Employees are expected to make decisions in a timely manner and display emotional intelligence during occasional stressful situations.&nbsp;


Benefits:


* Generous base salary

* Three weeks of PTO

* Excellent health benefits program (Medical, dental and vision)

* Education and conference reimbursement

* 401k retirement plan. We contribute 3% of base salary irrespective of employee's contribution

* 100% paid short-term and long-term disability

* 100% paid life insurance

* FSA

* Casual working environment

* Flexible office hours

* New laptop (Mac or PC - your choice)





SemanticBits, LLC is an equal opportunity, affirmative action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability, or any other characteristic protected by law. We are also a veteran-friendly employer.
 Apply now and work remotely at SemanticBits"
2020-07-02 08:21:31-07:00,Crisp,Back End Software Developer,"['backend', 'dev', 'digital nomad']","
Here at Crisp, we value the strength in teamwork, and strongly believe that it&rsquo;s the key to Crisp&rsquo;s success. By bringing together bright, motivated creators, wherever they live and work, we are leveraging humanity&rsquo;s diversity of experience and background in order to understand the challenges facing our food supply, and solve them together. Come join us, and help build the type of business you&rsquo;d like to be a part of.

We are a socially conscious, distributed team. We give you the opportunity to solve challenges in the global food industry while living where you&rsquo;re most comfortable and working in areas where you can help foster and grow the community that you are a part of.

We believe in transparency, diversity, merit and fostering a culture of empowerment, personal impact and career growth. As part of early engineering at Crisp, you will have the unique opportunity to take products from concept to production as we build towards our goal of becoming the global technology platform for the food industry. You&rsquo;ll leverage your experience working with cloud native applications to ingest, transform, and expose industry data to help revolutionize how the food supply chain works.

Signs of a great candidate


* Collaborative.&nbsp;You know that your colleagues&rsquo; perspectives will make our customers successful. Similarly, you use your strengths to help us grow together. You propose ways for us to be more engaged and successful with our customers.

* Customer focused. Our customers are at the forefront of your day. You prioritize our customers&rsquo; voice to ensure their needs are met.

* Ambitious, curious, and resourceful.&nbsp;You are innately curious, and you aren&rsquo;t afraid to work hard. You are self driven, you take direction well but are able to be creative to find results on your own when asked. You are driven to succeed because your hard work and results make you proud.

* Disciplined and reliable.&nbsp;We are a distributed company and you enjoy the benefits of working distributed while consistently delivering what you have committed to. When you hit a snag, you communicate and reset expectations early.

* Appreciative of honest feedback.&nbsp;You know that the best way to learn and grow is through constructive feedback delivered kindly. You view feedback given to you as an opportunity to get better and strive to do the same for others.

* Work smarter and harder.&nbsp;&nbsp;You often identify a problem, create a solution and bring it to a state of completion - with others, or even on your own. You find ways of eliminating or automating stuff that is uninteresting or wasteful.

* Fluency in Norwegian Language.&nbsp;You will be fluent in Norwegian&nbsp;to assist our customer base.




Crisp&rsquo;s Backend Tech Stack


* Statically typed, modern languages.&nbsp;We use Kotlin and TypeScript.&nbsp; Knowledge of these specific technologies is not a requirement. If you&rsquo;re willing to learn, we&rsquo;re willing to help you along the way.

* Continuous deployment.&nbsp;Code is never far from being deployed to production, because if it&rsquo;s not in production, it&rsquo;s not solving problems in the real world. Our branch time spans are short, and features under development are hidden behind feature flags.

* JVM based back-end.&nbsp;The JVM has a robust, rich ecosystem of libraries and tools that we&rsquo;re leveraging to help us focus on building solutions, not tool-chains.

* Cloud first.&nbsp;As a services offering in the 21st century, the cloud isn&rsquo;t the future, it&rsquo;s the present. We&rsquo;re fully invested in using the features offered by our cloud provider in order to minimize technical debt and maximize productivity.

* Micro-services.&nbsp;Not for the sake of the buzz, but when they make sense. By adopting a modern, thoughtful services architecture we&rsquo;re able to scale organizationally, reduce technical debt, and maintain a high, sustained velocity.

* Start-up mode.&nbsp; The team is still small, and the product is fresh.&nbsp; You&rsquo;ll be able to exert a large amount of influence, and contribute to decisions that will determine the future of the product and the team.




We are building a team of developers with a breadth of combined experiences so that we can collaboratively build great products. There are no hard requirements on specific background, experience or geographical location. Instead we&rsquo;re looking for individuals that are capable, reliable, and hoping to grow along with us. Do you have strengths you can share? If so, we&rsquo;d love to hear from you!
 Apply now and work remotely at Crisp"
